headword,CEFR,lemma,pos,spanish
a,A1,a,PRON,a
a.m./A.M./am/AM,A1,a.m./A.M./am,PROPN,a.m./a.m./am/a.m.
abandon,B1,abandon,PROPN,abandonar
abandoned,B2,abandon,VERB,abandonado
ability,A2,ability,NOUN,capacidad
able,B1,able,ADJ,capaz
abnormal,B1,abnormal,ADJ,anormal
abnormally,B2,abnormally,ADV,anormalmente
aboard,B1,aboard,ADP,a bordo
abolish,B2,abolish,VERB,abolir
aboriginal,B2,aboriginal,ADJ,aborigen
aborigine,B1,aborigine,VERB,aborigen
about,A1,about,ADV,acerca de
about,A1,about,ADV,acerca de
above,B1,above,ADV,arriba
above,A1,above,ADV,arriba
above,A1,above,ADV,arriba
abroad,A2,abroad,ADV,en el extranjero
abruptly,B2,abruptly,ADV,abruptamente
absence,B1,absence,NOUN,ausencia
absent,B1,absent,NOUN,ausente
absentee,B2,absentee,NOUN,ausente
absolute,B1,absolute,VERB,absoluto
absolutely,B1,absolutely,ADV,absolutamente
absorb,B1,absorb,VERB,absorber
abstract,B1,abstract,ADJ,abstracto
absurd,B2,absurd,ADJ,absurdo
abundance,B1,abundance,NOUN,abundancia
abundant,B1,abundant,ADJ,abundante
abuse,B2,abuse,NOUN,abuso
academic,B1,academic,ADJ,académico
academy,B1,academy,PROPN,academia
accent,B1,accent,ADJ,acento
accept,A2,accept,VERB,aceptar
acceptable,A2,acceptable,ADJ,aceptable
acceptance,B1,acceptance,NOUN,aceptación
access,B1,access,NOUN,acceso
access,B2,access,NOUN,acceso
accessibility,B2,accessibility,NOUN,accesibilidad
accessible,B1,accessible,ADJ,accesible
accessory,B1,accessory,PROPN,accesorio
accident,A2,accident,NOUN,accidente
accidental,B1,accidental,NOUN,accidental
accidentally,B1,accidentally,ADV,accidentalmente
accommodation,B2,accommodation,NOUN,alojamiento
accompany,B1,accompany,VERB,acompañar
accomplish,B1,accomplish,VERB,lograr
according to,B1,accord,VERB,de acuerdo a
accordingly,B2,accordingly,ADV,respectivamente
account,A2,account,VERB,cuenta
account,B1,account,VERB,cuenta
accountant,B1,accountant,NOUN,contador
accumulate,B2,accumulate,VERB,acumular
